
사업자_기본정보(주유소)

기준 : 일간(20170202) 영업중인 업체
고유번호,지역,상호,상표,주소,전화번호,셀프여부
A0009881,서울 서초구,양재최고주유소,GS칼텍스,서울 서초구 매헌로 72 (양재동),02-2057-5189,일반,
A0009891,서울 서초구,바우뫼주유소,SK에너지,서울특별시 서초구  바우뫼로 124 (양재동),02-578-3767,일반,
A0002534,서울 서초구,동원석유(강남대로),S-OIL,서울 서초구 강남대로 206 (양재동),02-579-7547,셀프,
A0009916,서울 서초구,대신석유(주)대우주유소,SK에너지,서울 서초구 양재대로 173 (양재동),02-572-0567,셀프,
A0011828,서울 서초구,양재주유소,SK에너지,서울 서초구 바우뫼로 178 (양재동),02-577-1621,일반,
A0009919,서울 서초구,양재현대주유소,현대오일뱅크,서울 서초구 마방로 6,02-579-8429,일반,
A0010036,서울 송파구,서원주유소,SK에너지,서울 송파구 중대로 154 (가락동),02-402-5929,일반,
A0009938,서울 송파구,제트라인 DM주유소,현대오일뱅크,서울 송파구 중대로 183 (가락동),02-430-5151,일반,
A0010021,서울 송파구,완불주유소,SK에너지,서울 송파구 송파대로 3 (장지동),02-3402-2900,일반,
A0009985,서울 송파구,우리주유소,GS칼텍스,서울특별시 송파구  동남로 153 (가락동),02-3401-1588,일반,
A0009932,서울 송파구,남성대주유소,SK에너지,서울 송파구 송파대로 52 (장지동),02-409-2211,일반,
A0010174,서울 송파구,대신석유(주)진양주유소,SK에너지,서울 송파구 올림픽로 499 (풍납동),02-477-1906,일반,
A0010037,서울 송파구,SK네트웍스(주)방이주유소,SK에너지,서울 송파구 위례성대로12길 38 (방이동),02-424-3051,일반,
A0010183,서울 송파구,백제고분로주유소,SK에너지,서울 송파구 오금로 143 (방이동),02-2202-4050,셀프,
A0011899,서울 송파구,거성석유주식회사,GS칼텍스,서울특별시 송파구  백제고분로 475 (방이동),02-416-5189,셀프,
A0009943,서울 송파구,남성주유소,SK에너지,서울 송파구 백제고분로 474 (방이동),02-423-5128,일반,
A0010023,서울 송파구,송파주유소,GS칼텍스,서울 송파구 송이로 28 (송파동),02-2203-3737,일반,
A0010053,서울 송파구,(주)잠실에너지,S-OIL,서울 송파구 송파대로 442 (송파동),02-414-5010,셀프,
A0010162,서울 송파구,인광주유소,SK에너지,서울 송파구 송파대로 397 (석촌동),02-417-7111,일반,
A0010049,서울 송파구,(주)신화에너지 서울지점,SK에너지,서울 송파구 가락로 47 (석촌동),02-2202-8484,셀프,
A0010018,서울 송파구,송파알찬주유소,S-OIL,서울 송파구 백제고분로 229 (삼전동),02-3432-0028,일반,
A0009253,서울 송파구,(주)삼정석유,GS칼텍스,서울 송파구 백제고분로 252 (삼전동),02-412-5189,일반,
A0010048,서울 송파구,한강에너지(주)퍼스트주유소,SK에너지,서울 송파구 삼학사로 22 (석촌동),02-422-2834,셀프,
A0010161,서울 송파구,레이크시티 주유소,GS칼텍스,서울 송파구 삼학사로 68 (석촌동),02-423-5145,일반,
A0000015,서울 송파구,지에쓰이엔알(주)직영 송파제일주유소,현대오일뱅크,서울 송파구 삼학사로 50 (석촌동),02-424-2900,셀프,
A0010175,서울 송파구,대성석유(주)석촌주유소,GS칼텍스,서울 송파구 백제고분로 289 (석촌동),02-421-0051,일반,
A0009987,서울 송파구,선우상사,SK에너지,서울 송파구 백제고분로 199 (삼전동),02-420-5101,일반,
A0010172,서울 송파구,아시아주유소,GS칼텍스,서울 송파구 도곡로 438 (잠실동),02-416-1911,일반,
A0010167,서울 송파구,삼화주유소,GS칼텍스,서울특별시 송파구  백제고분로 125 (잠실동),02-2203-2280,셀프,
A0009939,서울 송파구,대성주유소,SK에너지,서울 송파구 마천로 230 (마천동),02-431-1991,일반,
A0010033,서울 송파구,SK네트웍스(주)송파셀프주유소,SK에너지,서울특별시 송파구  거마로 5 (거여동 26-1),02-409-9836,셀프,
A0009989,서울 송파구,상아주유소,현대오일뱅크,서울 송파구 거마로 82 (마천동),02-409-8251,일반,
A0010010,서울 송파구,서울주유소,S-OIL,서울 송파구 문정로 153 (가락동),02-407-0708,일반,
A0001933,서울 송파구,(주)남경석유세영주유소,GS칼텍스,서울특별시 송파구  동남로 298 (오금동),02-406-7778,일반,
A0009062,서울 송파구,구도일주유소,S-OIL,서울 송파구 동남로 317 (오금동),02-3401-5182,일반,
A0011830,서울 송파구,(주)유진주유소,SK에너지,서울 송파구 동남로 325 (오금동),02-406-3956,일반,
A0010020,서울 송파구,정직한주유소,현대오일뱅크,서울 송파구 오금로 455,02-406-4634,셀프,
A0010034,서울 송파구,올림픽셀프,SK에너지,서울 송파구 위례성대로 188 (오금동),02-448-9804,셀프,
A0033059,서울 송파구,가든파이브주유소,GS칼텍스,서울특별시 송파구 장지동 237-9,02-409-5145,셀프,
A0006665,서울 광진구,(주)장수주유소,SK에너지,서울 광진구 동일로 266 (군자동),02-498-1981,일반,
A0009330,서울 광진구,태양주유소,GS칼텍스,서울 광진구 동일로 345 (중곡동),02-464-5141,일반,
A0009413,서울 광진구,자양주유소,SK에너지,서울 광진구 아차산로 298 (자양동),02-457-7600,일반,
A0009271,서울 광진구,청담대교주유소,SK에너지,서울 광진구 능동로 85 (자양동),02-469-8232,일반,
A0009283,서울 광진구,성일주유소,SK에너지,서울 광진구 동일로 50 (자양동),02-463-3619,일반,
A0009408,서울 광진구,강평주유소,SK에너지,서울 광진구 아차산로 616 (광장동),02-2201-0736,일반,
A0009834,서울 광진구,삼호주유소,S-OIL,서울 광진구 천호대로 809 (광장동),02-455-7200,일반,
A0002720,서울 광진구,동서울주유소,GS칼텍스,서울 광진구 강변역로 10 (구의동),02-444-3910,일반,
A0009372,서울 광진구,대성산업(주)구의주유소,GS칼텍스,서울 광진구 광나루로 570 (구의동),02-457-0638,일반,
A0009358,서울 광진구,SK장호셀프주유소,SK에너지,서울특별시 광진구  자양로37 (자양동),02-447-9796,셀프,
A0009322,서울 광진구,평안주유소,알뜰주유소,서울 광진구 천호대로 630 (능동),02-446-0340,일반,
A0009411,서울 광진구,대원주유소,S-OIL,서울 광진구 용마산로 122 (중곡동),02-444-1666,일반,
A0009333,서울 광진구,용마주유소,GS칼텍스,서울 광진구 용마산로 68 (중곡동),02-456-1884,일반,
A0009310,서울 광진구,아차산주유소,자가상표,서울특별시 광진구  천호대로 690 (구의동),02-3436-1418,일반,
A0009421,서울 광진구,현대오일뱅크(주)중원주유소,현대오일뱅크,서울 광진구 동일로 398 (중곡동),02-467-2410,일반,
A0004458,서울 광진구,일진주유소,S-OIL,서울 광진구 동일로 413 (중곡동),02-468-5415,일반,
A0009351,서울 광진구,현대오일뱅크(주)직영중곡현대주유소,현대오일뱅크,서울특별시 광진구 동일로 435,02-497-5151,일반,
A0009357,서울 광진구,대명주유소,SK에너지,서울 광진구 광나루로 460 (화양동),02-2201-4392,셀프,
A0009765,서울 광진구,현대오일뱅크(주)직영 능동주유소,현대오일뱅크,서울특별시 광진구  천호대로 584 (능동),02-452-7723,셀프,
A0000106,서울 광진구,구의스타주유소,GS칼텍스,서울 광진구 자양로 103,02-457-4071,일반,
A0000394,서울 강북구,현대주유소,현대오일뱅크,서울특별시 강북구 도봉로 200,02-945-7999,셀프,
A0009609,서울 강북구,미아주유소,GS칼텍스,서울특별시 강북구  도봉로 122 (미아동),02-987-5152,셀프,
A0009661,서울 강북구,새한주유소,SK에너지,서울특별시 강북구  도봉로75길 62-7,02-985-4382,셀프,
A0009608,서울 강북구,수유동주유소,GS칼텍스,서울 강북구 도봉로 395 (수유동),02-902-9470,일반,
A0009645,서울 강북구,대성석유(주)신광주유소,GS칼텍스,서울 강북구 삼양로 484 (수유동),02-908-3320,일반,
A0009678,서울 강북구,(주)에이앤이제일주유소,현대오일뱅크,서울특별시 강북구 삼양로 410,02-907-5182,일반,
A0009641,서울 강북구,동원주유소,S-OIL,서울특별시 강북구  삼양로 316 (수유동),02-980-8544,일반,
A0009665,서울 강북구,SK매일주유소,SK에너지,서울특별시 강북구  삼양로 217 (미아동),02-982-8855,셀프,
A0000189,서울 강북구,송정주유소,자가상표,서울특별시 강북구 인수봉로 185 (수유동),02-993-5189,일반,
A0009603,서울 강북구,에덴주유소,S-OIL,서울 강북구 월계로 195 (번동),02-987-8182,일반,
A0009610,서울 강북구,좋은기름주유소,S-OIL,서울특별시 강북구  덕릉로 158 (번동),02-989-9806,일반,
A0009640,서울 강북구,현대오일뱅크(주)직영 번동셀프주유소,현대오일뱅크,서울 강북구 한천로 963 (번동),02-992-3331,셀프,
A0009535,서울 강북구,세원주유소,SK에너지,서울 강북구 한천로 918 (번동),02-907-6890,셀프,
A0001159,서울 금천구,KH에너지(주)직영시흥대로주유소,SK에너지,서울시 금천구 시흥대로 221,02-892-5156,일반,
A0001146,서울 금천구,박미주유소,SK에너지,서울 금천구 시흥대로 39-7 (시흥동),02-802-6749,일반,
A0001055,서울 금천구,남서울경복에너지,S-OIL,서울 금천구 독산로 257 (독산동),02-855-9880,셀프,
A0001075,서울 금천구,백산주유소,S-OIL,서울특별시 금천구  시흥대로 174 (시흥동),02-807-3161,셀프,
A0001108,서울 금천구,대득에너지(금천셀프주유소),GS칼텍스,서울특별시 금천구  시흥대로 81 (시흥동),02-805-7888,셀프,
A0001131,서울 금천구,일신주유소,GS칼텍스,서울특별시 금천구  시흥대로118,02-896-5145,셀프,
A0001132,서울 금천구,경복에너지,알뜰주유소,서울특별시 금천구  독산로 147 (시흥동),02-891-5189,일반,
A0001111,서울 금천구,성부주유소,SK에너지,서울 금천구 남부순환로 1280 (가산동),02-859-7657,일반,
A0001162,서울 금천구,명보주유소,알뜰주유소,서울 금천구 시흥대로 377 (독산동),02-806-8336,일반,
A0001139,서울 금천구,이가주유소,SK에너지,서울 금천구 시흥대로 441 (독산동),02-861-2241,일반,
A0001086,서울 금천구,백운주유소,GS칼텍스,서울 금천구 시흥대로 282 (독산동),02-894-8521,일반,
A0001164,서울 금천구,(주)태영유업 독산고개,현대오일뱅크,서울특별시 금천구 시흥대로 484,02-856-0283,셀프,
A0016244,서울 금천구,구광주유소,S-OIL,서울 금천구 서부샛길 674 (가산동),02-868-6889,일반,
A0001141,서울 금천구,순환도로,SK에너지,서울 금천구 남부순환로 1410 (독산동),02-859-5426,일반,
A0002742,경기 수원시,행복주유소,S-OIL,경기도 수원시 권선구  수인로 379(구운동),031-291-5151,일반,
A0000190,경기 수원시,(주)블루에너지주유소,S-OIL,경기도 수원시 권선구  매송고색로 552 (오목천동),031-291-0630,셀프,
A0001812,경기 수원시,오목천주유소,현대오일뱅크,경기 수원시 권선구 오목천로 40 (오목천동),031-293-9008,일반,
A0002014,경기 수원시,금강주유소,현대오일뱅크,경기 수원시 권선구 매송고색로 577 (오목천동),031-246-5151,일반,
A0002521,경기 수원시,희망주유소,S-OIL,경기도 수원시 권선구  서수원로63번길 171 (오목천동),031-293-5454,셀프,
A0002033,경기 수원시,서수원주유소,SK에너지,경기 수원시 권선구 서부로 1963 (구운동),031-296-0017,셀프,
A0001207,경기 수원시,(주)삼하 호매실주유소,GS칼텍스,경기 수원시 권선구 금호로 74 (호매실동),031-294-5050,일반,
A0002029,경기 수원시,서수원주유소,현대오일뱅크,경기도 수원시 권선구  효행로 50 (오목천동),031-294-6051,일반,
A0002120,경기 수원시,형제주유소,S-OIL,경기 수원시 권선구 수인로 446 (입북동),031-291-9253,일반,
A0007547,경기 수원시,(주)어울림주유소,알뜰주유소,경기도 수원시 권선구  매송고색로 498 (오목천동),031-255-2661,셀프,
A0002612,경기 수원시,하이웨이주유소,GS칼텍스,경기도 수원시 권선구  매송고색로 513 (오목천동),031-294-5189,셀프,
A0007480,경기 수원시,천천주유소,SK에너지,경기 수원시 장안구 덕영대로 557,031-269-5151,일반,
A0007367,경기 수원시,S-OIL새한주유소,S-OIL,경기도 수원시 장안구  서부로 2348 (이목동),031-269-5120,일반,
A0007227,경기 수원시,노송주유소,SK에너지,경기 수원시 장안구 서부로 2359 (이목동),031-243-5149,셀프,
A0002567,경기 수원시,고색주유소,SK에너지,경기 수원시 권선구 매송고색로 730 (고색동),031-291-1323,셀프,
A0007508,경기 수원시,현대석유(주)서광주유소,GS칼텍스,경기 수원시 장안구 서부로 2370 (이목동),031-244-5260,일반,
A0003659,경기 수원시,솔밭주유소,SK에너지,경기 수원시 장안구 장안로 357 (정자동),031-254-7027,일반,
A0002516,경기 수원시,청송주유소,SK에너지,경기 수원시 권선구 권선로 331,031-296-5189,셀프,
A0007182,경기 수원시,수안주유소,GS칼텍스,경기도 수원시 장안구  경수대로 1246 (파장동),031-243-4412,일반,
A0005091,경기 수원시,남선주유소,GS칼텍스,경기도 수원시 권선구 권선로 334 (고색동),031-278-5185,일반,
A0000248,경기 수원시,탑주유소,SK에너지, 경기도 수원시 권선구 서부로 1774,031-278-5182,셀프,
A0007482,경기 수원시,SK북수원주유소(직영),SK에너지,경기 수원시 장안구 서부로 2201 (율전동),031-207-5189,셀프,
A0007191,경기 수원시,기분좋은주유소,GS칼텍스,경기 수원시 장안구 서부로 2175 (율전동),031-207-5145,일반,
A0002167,경기 수원시,골든벨주유소,S-OIL,경기 수원시 권선구 서부로 1650 (고색동),031-297-5182,셀프,
A0002309,경기 수원시,고색자연(self) 주유소,SK에너지,경기 수원시 권선구 매송고색로 638 (고색동),031-221-5151,셀프,
A0002497,경기 수원시,서탄에너지(주)한아름주유소,GS칼텍스,경기도 수원시 장안구  서부로 2282 (이목동),031-251-5189,셀프,
A0002043,경기 수원시,진흥주유소,GS칼텍스,경기 수원시 권선구 수인로 173 (서둔동),031-295-5185,일반,
A0002666,경기 수원시,덕원주유소,SK에너지,경기 수원시 권선구 권선로 258 (고색동),031-292-4799,셀프,
A0033021,경기 수원시,(주)청담아이파크주유소,SK에너지,경기도 수원시 권선구  경수대로 229 (세류동) 청담아이파크주유소,031-232-0202,셀프,
A0002501,경기 수원시,하늘에너지(주)대창주유소,GS칼텍스,경기도 수원시 팔달구  경수대로 682 (우만동),031-252-5151,셀프,
A0002503,경기 수원시,평화주유소,GS칼텍스,경기 수원시 팔달구 경수대로 659,031-258-6600,셀프,
A0007375,경기 수원시,대왕주유소,SK에너지,경기 수원시 팔달구 경수대로 502 (인계동),031-223-5151,셀프,
A0007223,경기 수원시,연무주유소,GS칼텍스,경기 수원시 장안구 포은대로 171 (연무동),031-253-2461,일반,
A0002066,경기 수원시,경원주유소,SK에너지,경기 수원시 권선구 권광로 80 (권선동),031-233-6678,일반,
A0002568,경기 수원시,한신(직영)셀프주유소,SK에너지,경기 수원시 팔달구 경수대로 571 (인계동),031-232-4395,셀프,
A0002076,경기 수원시,인계동주유소,GS칼텍스,경기 수원시 팔달구 인계로 139 (인계동),031-215-8101,셀프,
A0002262,경기 수원시,BMW주유소,GS칼텍스,경기 수원시 권선구 동수원로 258 (권선동),031-221-5270,일반,
A0002537,경기 수원시,비행장주유소/충전소,SK에너지,경기 수원시 권선구 정조로 291  (대황교동),031-222-2544,일반,
A0007472,경기 수원시,장안(삼양),SK에너지,경기 수원시 장안구 경수대로 791 (영화동),031-243-9013,일반,
A0002664,경기 수원시,대황교주유소,SK에너지,경기도 수원시 권선구 정조로 235 (대황교동),031-232-3100,일반,
A0000538,경기 수원시,㈜수원터미널주유소,현대오일뱅크,경기 수원시 권선구 경수대로 270 (권선동),031-267-7773,일반,
A0002523,경기 수원시,대원주유소,SK에너지,경기도 수원시 장안구  경수대로 772 (영화동),031-255-8061,일반,
A0002672,경기 수원시,제이앤비코리아(주)수원1호지점(부강주유소),알뜰주유소,경기 수원시 팔달구 포은대로 55 (매향동),031-241-5189,셀프,
A0004488,경기 수원시,자유에너지(주)신원주유소,현대오일뱅크,경기도 수원시 권선구 권선로 644 (권선동),031-232-5189,셀프,
A0007385,경기 수원시,효원주유소,SK에너지,경기 수원시 팔달구 효원로 181 (인계동),031-221-7324,일반,
A0002504,경기 수원시,명품주유소,알뜰주유소,경기도 수원시 권선구 권선로 651 (권선동),031-232-6051,일반,
A0002719,경기 수원시,(주)거창에너지권선제일,S-OIL,경기 수원시 권선구 경수대로 350 (권선동),031-232-1548,일반,
A0002682,경기 수원시,자유에너지㈜가든주유소,알뜰주유소,경기 수원시 팔달구 인계로 58 (인계동),070-8825-5189,셀프,
A0000708,경기 수원시,팔달주유소,SK에너지,경기 수원시 팔달구 중부대로 64 (인계동),031-223-8855,일반,
A0002588,경기 수원시,SK드림주유소,SK에너지,경기도 수원시 권선구  권선로 679 (권선동),031-237-5189,일반,
A0007058,경기 수원시,수원주유소,GS칼텍스,경기도 수원시 팔달구  인계로 76 (인계동),031-223-5001,셀프,
A0002737,경기 수원시,장안공원주유소,GS칼텍스,경기 수원시 장안구 팔달로 227 (영화동),031-244-5189,셀프,
A0008138,경기 수원시,인성주유소,GS칼텍스,경기 수원시 권선구 권선로 541 (세류동),031-231-1115,일반,
A0002678,경기 수원시,수원화성주유소,현대오일뱅크,경기 수원시 팔달구 매산로 107,070-8821-5189,셀프,
A0004383,경기 수원시,우리주유소,현대오일뱅크,경기도 수원시 권선구  정조로 599 (세류동),031-225-1051,일반,
A0007522,경기 수원시,대성산업(주)수원주유소,GS칼텍스,경기 수원시 장안구 경수대로 868 (조원동),031-243-3535,일반,
A0010119,경기 수원시,덕영대로주유소,S-OIL,경기도 수원시 권선구  덕영대로 1136 (세류동),031-898-9187,일반,
A0007545,경기 수원시,금호주유소,SK에너지,경기도 수원시 장안구  경수대로 852 (조원동),031-258-2892,일반,
A0002308,경기 수원시,세류주유소,현대오일뱅크,경기 수원시 권선구 덕영대로 1139 (세류동),031-224-5104,일반,
A0007194,경기 수원시,대륙주유소,GS칼텍스,경기 수원시 장안구 경수대로 831  (조원동),031-248-5145,일반,
A0002514,경기 수원시,스타주유소,알뜰주유소,경기 수원시 팔달구 정조로 663,031-232-1433,일반,
A0004367,경기 수원시,종로주유소,현대오일뱅크,경기 수원시 팔달구 정조로 816 (팔달로1가),031-268-5189,일반,
A0007536,경기 수원시,드림에너지(주)배트맨주유소,알뜰주유소, 경기도 수원시 장안구 경수대로 818,031-258-0445,일반,
A0002739,경기 수원시,만석주유소,S-OIL,경기 수원시 장안구 장안로 153,031-245-0396,셀프,
A0007525,경기 수원시,C＆S유통(주)구도일주유소일류,S-OIL,경기 수원시 장안구 경수대로 1029 (파장동),031-257-1150,일반,
A0002517,경기 수원시,VIP주유소,현대오일뱅크,경기 수원시 장안구 경수대로 1021 (파장동),031-256-5857,셀프,
A0002506,경기 수원시,태양제2주유소,현대오일뱅크,경기도 수원시 장안구  경수대로 1011 (송죽동),031-251-5159,일반,
A0007475,경기 수원시,송죽동,SK에너지,경기 수원시 장안구 경수대로 992 (송죽동),031-258-7211,셀프,
A0002690,경기 수원시,(주)미래석유 역전주유소,현대오일뱅크,경기 수원시 권선구 덕영대로 1000 (세류동),031-237-2010,셀프,
A0007149,경기 수원시,SK네트웍스(주)영화셀프주유소,SK에너지,경기 수원시 장안구 수성로290번길 3 (영화동),031-244-2722,셀프,
A0002740,경기 수원시,새소망셀프주유소,SK에너지,경기 수원시 팔달구 팔달로 137 (화서동),031-245-8855,셀프,
A0002023,경기 수원시,수원역주유소,현대오일뱅크,경기 수원시 권선구 덕영대로 1003 (세류동),031-235-4396,셀프,
A0002548,경기 수원시,공군제3267부대  2,GS칼텍스,경기 수원시 권선구 경수대로 168번길 79,031-220-6473,일반,
A0007203,경기 수원시,송천주유소,SK에너지,경기 수원시 장안구 송원로 32 (송죽동),031-252-5525,일반,
A0007524,경기 수원시,씨앤에스유통(주)구도일주유소공원,S-OIL,경기도 수원시 장안구  경수대로 1214 (파장동),031-255-2091,일반,
A0032660,경기 수원시,평동오일뱅크주유소,현대오일뱅크,경기 수원시 권선구 매송고색로 789 (고색동),031-278-4308,일반,
A0007473,경기 수원시,뉴서울주유소,SK에너지,경기 수원시 장안구 경수대로 1121 (파장동),031-258-5155,셀프,
A0002420,경기 수원시,서둔주유소,S-OIL,경기 수원시 권선구 서호동로 29,031-297-5151,일반,
A0002183,경기 수원시,청호주유소,SK에너지,경기도 수원시 권선구  수인로 57 (서둔동),031-227-5188,셀프,
A0002683,경기 수원시,SK네트웍스(주)직영G＆Gself주유소,SK에너지,경기도 수원시 권선구  매송고색로 810 (고색동),031-291-7373,셀프,
A0007238,경기 수원시,동신주유소,현대오일뱅크,경기 수원시 장안구 장안로 260 (정자동),031-241-7888,일반,
A0007526,경기 수원시,구도일삼익씨앤에스유통(주),S-OIL,경기도 수원시 장안구  경수대로 1104 (파장동),031-255-2096,셀프,
A0007164,경기 수원시,화서제일주유소,GS칼텍스,경기도 수원시 팔달구  덕영대로 749번길 2 (화서동),031-251-0348,일반,
A0002535,경기 수원시,(주)산호석유 경향주유소,GS칼텍스,경기 수원시 권선구 매송고색로 827 (평동),031-292-2640,셀프,
A0007166,경기 수원시,서부주유소,GS칼텍스,경기 수원시 팔달구 수성로 188 (화서동),031-243-8087,일반,
A0017370,경기 수원시,자유에너지(주)신형주유소,알뜰주유소,경기 수원시 권선구 매송고색로 843 (평동),031-292-5183,셀프,
A0002669,경기 수원시,에이제이토탈(주)직영정자현대주유소,현대오일뱅크,경기 수원시 장안구 정자천로 179,031-269-0051,셀프,
A0002569,경기 수원시,2002주유소,SK에너지,경기 수원시 권선구 수인로 23 (서둔동),031-296-6060,일반,
A0002511,경기 수원시,경진셀프주유소,SK에너지,경기 수원시 장안구 경수대로 1059,031-252-5149,셀프,
A0002134,경기 수원시,평동그린주유소,GS칼텍스,경기 수원시 권선구 매송고색로 864 (평동),031-295-5198,일반,
A0002073,경기 수원시,현대그린주유소,현대오일뱅크,경기 수원시 권선구 평동로 132 (평동),031-298-5151,일반,
A0007398,경기 수원시,영통주유소,GS칼텍스,경기도 수원시 영통구 청명로 107 (영통동),031-205-6900,셀프,
A0007528,경기 수원시,㈜휴세코 광교지점 희망주유소,GS칼텍스,경기도 수원시 영통구 광교호수로 124,031-217-5144,셀프,
A0002566,경기 수원시,SK네트웍스(주)갤럭시주유소,SK에너지,경기 수원시 영통구 삼성로 281 (원천동),031-217-0818,셀프,
A0027333,경기 수원시,삼성주유소,GS칼텍스,경기 수원시 영통구 매영로 248 (원천동),031-216-3001,일반,
A0007535,경기 수원시,삼미상사(주)삼성단지주유소,SK에너지,경기도 수원시영통구 중부대로 473,031-214-5195,일반,
A0007404,경기 수원시,유신주유소,S-OIL,경기도 수원시 영통구 영통로 299,031-216-1475,셀프,
A0002570,경기 수원시,영통제일주유소,SK에너지,경기 수원시 영통구 영통로 317 (매탄동),031-211-2255,일반,
A0011824,경기 수원시,(주)대호주유소,SK에너지,경기도 수원시 영통구 창룡대로 442 (이의동),031-243-6022,일반,
A0002078,경기 수원시,수원고속주유소,SK에너지,경기도 수원시 영통구  중부대로 384 (매탄동),031-213-7777,셀프,
A0002202,경기 수원시,우신주유소,S-OIL,경기 수원시 영통구 신원로 213 (매탄동),031-212-2012,일반,
A0007548,경기 수원시,(주)나눔에너지,현대오일뱅크,경기도 수원시 영통구 영통로 171,031-205-5151,셀프,
A0002533,경기 수원시,망포에너지판매주식회사,SK에너지,경기 수원시 영통구 영통로 157 (망포동),031-204-0999,일반,
A0007533,경기 수원시,동수원현대주유소,현대오일뱅크,경기도 수원시 영통구  중부대로 277 (원천동),031-216-5158,일반,
A0002081,경기 수원시,대신자연에너지,SK에너지,경기 수원시 영통구 권선로 927 (신동),031-202-5151,일반,
A0007453,경기 수원시,(주)한미석유직영동수원톨게이트,GS칼텍스,경기 수원시 영통구 창룡대로 363  (이의동),031-256-5691,셀프,
A0007242,경기 수원시,동문A주유소,GS칼텍스,경기도 수원시 영통구 창룡대로 370  (이의동),031-258-0282,셀프,
A0015507,경기 수원시,법원주유소,SK에너지,경기 수원시 영통구 중부대로 309  (원천동),031-214-5182,일반,
A0007245,경기 수원시,(주)제이앤이에너지 동문B주유소,GS칼텍스,경기도 수원시 영통구 창룡대로 380 (이의동),031-256-8879,셀프,
A0002304,경기 수원시,매탄동주유소,GS칼텍스,경기 수원시 영통구 동탄원천로 1015 (매탄동),031-217-5108,셀프,
A0007523,경기 수원시,현대오일뱅크 (주) 직영 수원제일주유소,현대오일뱅크, 경기도 수원시 팔달구 권광로 273,031-216-5160,일반,
A0007330,경기 수원시,미래주유소,SK에너지,경기 수원시 영통구 포은대로 266 (이의동),031-245-5188,일반,
A0002019,경기 수원시,남부로주유소,GS칼텍스,경기 수원시 권선구 덕영대로 1357 (권선동),031-222-6678,일반,
A0002302,경기 수원시,아주주유소,현대오일뱅크,경기도 수원시 팔달구  월드컵로 246 (우만동),031-216-5189,일반,
A0007199,경기 수원시,월드컵주유소,SK에너지,경기 수원시 팔달구 권광로 472 (우만동),031-214-5189,일반,
A0032871,경기 수원시,(주)마봉 구도일주유소광교신도시,S-OIL,경기도 수원시 영통구  광교호수로 328-142,031-304-2266,셀프,
A0002006,경기 수원시,경희주유소,GS칼텍스,경기 수원시 영통구 덕영대로 1729 (영통동),031-205-0878,일반,
A0033107,경기 수원시,GS행정타운주유소,GS칼텍스,경기도 수원시 권선구 권선로 98,031-292-5120,셀프,
A0005640,경기 성남시,청계산주유소,SK에너지,경기 성남시 수정구 청계산로 458 (상적동),031-723-8187,일반,
A0005776,경기 성남시,현대오일뱅크(주)위례현대주유소,현대오일뱅크,경기도 성남시 수정구 성남대로 1529 (복정동),031-757-0551,일반,
A0005755,경기 성남시,남문,SK에너지,경기도 성남시 수정구  성남대로 1301 (태평동),031-751-0941,일반,
A0005682,경기 성남시,e-푸른주유소,S-OIL,경기 성남시 수정구 성남대로 1482 (복정동),031-759-5188,일반,
A0005788,경기 성남시,SK네트웍스(주)경원주유소,SK에너지,경기 성남시 수정구 성남대로 1414 (복정동),031-751-6051,셀프,
A0005768,경기 성남시,수내동주유소,SK에너지,경기 성남시 분당구 불정로 274 (수내동),031-715-1681,일반,
A0005660,경기 성남시,GS칼텍스직영성남제일점,GS칼텍스,경기 성남시 수정구 성남대로 1268 (태평동),031-753-2217,일반,
A0005765,경기 성남시,이매동주유소,SK에너지,경기도 성남시 분당구  성남대로772번길 2 (이매동),031-703-9515,일반,
A0009031,경기 성남시,(주)새서울석유 신도시,현대오일뱅크,경기 성남시 분당구 황새울로359번길 3 (서현동),031-706-5151,일반,
A0009025,경기 성남시,대일주유소,GS칼텍스,경기도 성남시 분당구 양현로 312 (야탑동),031-706-6037,셀프,
A0005643,경기 성남시,시티홀오일프라자,SK에너지, 경기도 성남시 중원구 여수대로 200,031-753-5959,셀프,
A0005783,경기 성남시,KH에너지(주)직영 판교모드니주유소,SK에너지,경기도 성남시 분당구  동판교로 42 (백현동),031-8017-5153,셀프,
A0005705,경기 성남시,분당로마도시고속주유소,GS칼텍스,경기 성남시 분당구 수내로 2 (수내동),031-715-0445,일반,
A0005784,경기 성남시,KH에너지(주)직영 판교운중주유소,SK에너지,경기도 성남시 분당구  동판교로 177 (삼평동),031-8017-5155,일반,
A0005746,경기 성남시,(주)소모에너지엔테크놀러지 동화주유소,GS칼텍스,경기 성남시 분당구 돌마로 176 (정자동),031-713-3433,일반,
A0005792,경기 성남시,한강에너지(주),SK에너지,경기도 성남시 중원구  여수대로 147 (여수동),031-759-2834,셀프,
A0009402,경기 성남시,수펙스주유소,SK에너지,경기 성남시 분당구 성남대로 71 (구미동),031-717-1141,일반,
A0005653,경기 성남시,그린주유소,SK에너지,경기 성남시 수정구 대왕판교로 1347 (신촌동),031-723-8990,일반,
A0005719,경기 성남시,판교서일주유소,GS칼텍스,경기도 성남시 분당구  판교로 315 (삼평동),031-8016-5260,셀프,
A0004171,경기 성남시,sk네트웍스(주)스타팅광동주유소,SK에너지,경기도 성남시 분당구  대왕판교로644번길 43 (삼평동),031-8017-5188,일반,
